,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Accuracy
Indigenous,,female,10,15,40,40,0.7272727272727273,0.8,0.2,0.2727272727272727,0.47619047619047616
Indigenous,,neutral,9,9,50,50,0.847457627118644,0.847457627118644,0.15254237288135594,0.15254237288135594,0.5
Indigenous,Black,male,8,8,53,50,0.8688524590163934,0.8620689655172413,0.13793103448275862,0.13114754098360656,0.5126050420168067
Indigenous,Black,female,9,13,39,39,0.75,0.8125,0.1875,0.25,0.48
Indigenous,Black,neutral,8,9,53,50,0.8548387096774194,0.8620689655172413,0.13793103448275862,0.14516129032258066,0.5083333333333333
Indigenous,White,male,8,7,55,52,0.8870967741935484,0.8666666666666667,0.13333333333333333,0.11290322580645161,0.5163934426229508
Indigenous,White,female,9,12,42,41,0.7777777777777778,0.82,0.18,0.2222222222222222,0.49038461538461536
Indigenous,White,neutral,8,9,54,51,0.8571428571428571,0.864406779661017,0.13559322033898305,0.14285714285714285,0.5081967213114754
Indigenous,Asian,male,9,8,53,49,0.8688524590163934,0.8448275862068966,0.15517241379310345,0.13114754098360656,0.5210084033613446
Indigenous,Asian,female,9,14,39,39,0.7358490566037735,0.8125,0.1875,0.2641509433962264,0.4752475247524752
Indigenous,Asian,neutral,9,9,52,49,0.8524590163934426,0.8448275862068966,0.15517241379310345,0.14754098360655737,0.5126050420168067
Indigenous,Hispanic,male,9,8,53,50,0.8688524590163934,0.847457627118644,0.15254237288135594,0.13114754098360656,0.5166666666666667
Indigenous,Hispanic,female,9,13,41,39,0.7592592592592593,0.8125,0.1875,0.24074074074074073,0.49019607843137253
Indigenous,Hispanic,neutral,9,9,52,50,0.8524590163934426,0.847457627118644,0.15254237288135594,0.14754098360655737,0.5083333333333333
Indigenous,Indigenous,male,8,6,56,55,0.9032258064516129,0.873015873015873,0.12698412698412698,0.0967741935483871,0.512
Indigenous,Indigenous,female,9,12,44,46,0.7857142857142857,0.8363636363636363,0.16363636363636364,0.21428571428571427,0.4774774774774775
Indigenous,Indigenous,neutral,8,8,56,54,0.875,0.8709677419354839,0.12903225806451613,0.125,0.5079365079365079
